id,att
584,"bottle,flavor,caramel,beer,taste"
585,"taste,beer,aroma,bottle,medium"
586,"beer,taste,light,bottle,alcohol"
587,"beer,taste,light,bottle,alcohol"
588,"orange,aroma,fruity,taste,beer"
589,"beer,flavor,taste,aroma,color"
593,"taste,beer,color,citrus,medium"
594,"beer,taste,light,bottle,alcohol"
595,"beer,taste,light,bottle,alcohol"
597,"taste,beer,aroma,bottle,medium"
599,"beer,taste,light,bottle,alcohol"
602,"beer,taste,light,bottle,alcohol"
603,"beer,taste,flavor,chocolate,coffee"
604,"beer,taste,light,bottle,alcohol"
605,"beer,taste,light,bottle,alcohol"
608,"beer,flavor,taste,aroma,color"
609,"beer,taste,light,bottle,alcohol"
610,"beer,taste,light,bottle,alcohol"
611,"beer,flavor,color,taste,malty"
612,"taste,beer,color,citrus,medium"
613,"beer,flavor,taste,aroma,color"
614,"beer,taste,flavor,chocolate,coffee"
616,"beer,flavor,taste,aroma,color"
617,"beer,taste,light,bottle,alcohol"
621,"beer,taste,flavor,chocolate,coffee"
623,"bottle,flavor,caramel,beer,taste"
624,"beer,taste,light,bottle,alcohol"
625,"beer,taste,flavor,chocolate,coffee"
626,"beer,taste,light,bottle,alcohol"
627,"beer,taste,light,bottle,alcohol"
628,"beer,taste,light,bottle,alcohol"
629,"beer,taste,aroma,malt,bit"
630,"beer,flavor,taste,aroma,color"
631,"beer,taste,aroma,malt,bit"
632,"beer,flavor,color,taste,malty"
633,"beer,flavor,taste,aroma,color"
634,"beer,taste,light,bottle,alcohol"
636,"taste,beer,color,citrus,medium"
638,"beer,taste,light,bottle,alcohol"
639,"bottle,flavor,caramel,beer,taste"
640,"beer,flavor,color,taste,malty"
641,"beer,taste,light,bottle,alcohol"
643,"beer,flavor,taste,aroma,color"
644,"orange,aroma,fruity,taste,beer"
646,"beer,taste,light,bottle,alcohol"
648,"beer,taste,light,bottle,alcohol"
649,"beer,taste,light,bottle,alcohol"
650,"beer,flavor,color,taste,malty"
652,"beer,taste,aroma,malt,bit"
653,"beer,taste,light,bottle,alcohol"
654,"beer,taste,light,bottle,alcohol"
655,"beer,taste,light,bottle,alcohol"
660,"beer,flavor,color,taste,malty"
661,"beer,taste,flavor,chocolate,coffee"
662,"beer,taste,light,bottle,alcohol"
665,"beer,taste,flavor,chocolate,coffee"
666,"beer,taste,flavor,chocolate,coffee"
668,"beer,taste,flavor,chocolate,coffee"
671,"bottle,flavor,caramel,beer,taste"
672,"beer,flavor,taste,aroma,color"
673,"beer,taste,light,bottle,alcohol"
674,"beer,flavor,color,taste,malty"
675,"beer,flavor,color,taste,malty"
676,"beer,taste,aroma,malt,bit"
677,"beer,taste,light,bottle,alcohol"
678,"beer,taste,flavor,chocolate,coffee"
679,"beer,taste,light,bottle,alcohol"
680,"beer,taste,aroma,malt,bit"
681,"taste,beer,color,citrus,medium"
684,"taste,beer,aroma,bottle,medium"
686,"beer,flavor,taste,aroma,color"
687,"taste,beer,color,citrus,medium"
688,"beer,taste,flavor,chocolate,coffee"
689,"beer,taste,light,bottle,alcohol"
691,"beer,flavor,color,taste,malty"
692,"beer,taste,flavor,chocolate,coffee"
693,"beer,taste,aroma,malt,bit"
695,"beer,flavor,color,taste,malty"
696,"beer,flavor,color,taste,malty"
697,"beer,taste,flavor,chocolate,coffee"
698,"beer,taste,flavor,chocolate,coffee"
700,"beer,flavor,taste,aroma,color"
701,"beer,flavor,color,taste,malty"
702,"beer,taste,flavor,chocolate,coffee"
703,"beer,flavor,color,taste,malty"
704,"beer,taste,flavor,chocolate,coffee"
705,"beer,taste,flavor,chocolate,coffee"
706,"beer,taste,flavor,chocolate,coffee"
707,"beer,taste,light,bottle,alcohol"
708,"beer,flavor,color,taste,malty"
710,"taste,beer,color,citrus,medium"
711,"beer,flavor,color,taste,malty"
714,"beer,taste,light,bottle,alcohol"
715,"taste,beer,color,citrus,medium"
716,"beer,taste,flavor,chocolate,coffee"
717,"beer,taste,light,bottle,alcohol"
718,"beer,taste,light,bottle,alcohol"
719,"beer,taste,light,bottle,alcohol"
721,"taste,beer,aroma,bottle,medium"
722,"beer,taste,light,bottle,alcohol"
723,"beer,taste,flavor,chocolate,coffee"
724,"beer,flavor,taste,aroma,color"
725,"beer,taste,flavor,chocolate,coffee"
726,"taste,beer,color,citrus,medium"
728,"taste,beer,aroma,bottle,medium"
729,"beer,flavor,color,taste,malty"
730,"beer,flavor,taste,aroma,color"
731,"beer,taste,light,bottle,alcohol"
733,"hop,medium,malt,flavor,chocolate"
734,"beer,taste,flavor,chocolate,coffee"
735,"beer,taste,flavor,chocolate,coffee"
737,"beer,flavor,color,taste,malty"
740,"beer,taste,flavor,chocolate,coffee"
741,"orange,aroma,fruity,taste,beer"
742,"orange,aroma,fruity,taste,beer"
743,"beer,taste,aroma,malt,bit"
744,"beer,taste,light,bottle,alcohol"
745,"beer,flavor,taste,aroma,color"
746,"orange,aroma,fruity,taste,beer"
747,"beer,flavor,taste,aroma,color"
749,"beer,taste,flavor,chocolate,coffee"
750,"beer,taste,aroma,malt,bit"
753,"beer,taste,light,bottle,alcohol"
755,"beer,taste,flavor,chocolate,coffee"
756,"beer,taste,aroma,malt,bit"
757,"beer,taste,flavor,chocolate,coffee"
758,"beer,flavor,color,taste,malty"
759,"beer,taste,light,bottle,alcohol"
764,"beer,taste,light,bottle,alcohol"
769,"beer,flavor,taste,aroma,color"
770,"beer,taste,light,bottle,alcohol"
771,"beer,taste,aroma,malt,bit"
772,"beer,flavor,color,taste,malty"
773,"beer,flavor,color,taste,malty"
774,"beer,taste,light,bottle,alcohol"
776,"beer,flavor,taste,aroma,color"
777,"orange,aroma,fruity,taste,beer"
778,"bottle,flavor,caramel,beer,taste"
779,"beer,taste,aroma,malt,bit"
780,"beer,flavor,taste,aroma,color"
781,"beer,flavor,taste,aroma,color"
783,"beer,taste,flavor,chocolate,coffee"
784,"taste,beer,color,citrus,medium"
786,"beer,flavor,color,taste,malty"
789,"beer,taste,aroma,malt,bit"
791,"beer,taste,flavor,chocolate,coffee"
793,"taste,beer,color,citrus,medium"
796,"beer,flavor,taste,aroma,color"
797,"taste,beer,color,citrus,medium"
798,"beer,flavor,taste,aroma,color"
799,"beer,flavor,taste,aroma,color"
800,"orange,aroma,fruity,taste,beer"
801,"orange,aroma,fruity,taste,beer"
802,"beer,flavor,color,taste,malty"
803,"beer,taste,flavor,chocolate,coffee"
807,"beer,flavor,color,taste,malty"
808,"beer,flavor,color,taste,malty"
811,"hop,medium,malt,flavor,chocolate"
812,"beer,flavor,color,taste,malty"
813,"beer,taste,aroma,malt,bit"
814,"beer,flavor,taste,aroma,color"
815,"taste,beer,color,citrus,medium"
816,"taste,beer,aroma,bottle,medium"
817,"beer,flavor,color,taste,malty"
818,"beer,taste,light,bottle,alcohol"
819,"beer,flavor,color,taste,malty"
821,"beer,flavor,color,taste,malty"
